Date,Ticker,Open,High,Low,Close,Volume,Adj Close,Open,High,Low,Close,Volume,Adj Close,Open,High,Low,Close,Volume,Adj Close
,,7203.T,7203.T,7203.T,7203.T,7203.T,7203.T,6758.T,6758.T,6758.T,6758.T,6758.T,6758.T,9984.T,9984.T,9984.T,9984.T,9984.T,9984.T
2025-03-12,7203.T,2750.0,2766.0,2730.0,2761.5,23961100.0,2712.684326171875,,,,,,,,,,,,
2025-03-13,7203.T,2760.0,2764.0,2719.0,2719.0,26657300.0,2670.935791015625,,,,,,,,,,,,
2025-03-14,7203.T,2722.5,2783.5,2722.5,2746.5,32732200.0,2697.94970703125,,,,,,,,,,,,
2025-03-17,7203.T,2750.0,2792.0,2750.0,2760.5,20673100.0,2711.7021484375,,,,,,,,,,,,
2025-03-18,7203.T,2799.0,2857.0,2798.0,2839.0,29267300.0,2788.814453125,,,,,,,,,,,,
2025-03-19,7203.T,2864.0,2927.0,2864.0,2892.0,25594700.0,2840.877685546875,,,,,,,,,,,,
2025-03-21,7203.T,2851.0,2890.0,2838.0,2844.5,29746000.0,2794.21728515625,,,,,,,,,,,,
2025-03-24,7203.T,2874.0,2889.5,2849.5,2863.0,17186800.0,2812.39013671875,,,,,,,,,,,,
2025-03-25,7203.T,2916.0,2961.0,2870.5,2882.5,24978200.0,2831.54541015625,,,,,,,,,,,,
2025-03-26,7203.T,2898.5,2899.5,2845.5,2887.5,25294300.0,2836.45703125,,,,,,,,,,,,
2025-03-27,7203.T,2780.0,2828.5,2771.0,2828.5,43353000.0,2778.5,,,,,,,,,,,,
2025-03-28,7203.T,2725.0,2728.0,2687.0,2700.5,44617200.0,2700.5,,,,,,,,,,,,
2025-03-31,7203.T,2630.5,2647.0,2583.5,2616.0,43466800.0,2616.0,,,,,,,,,,,,
2025-04-01,7203.T,2649.0,2656.5,2616.5,2630.5,26218100.0,2630.5,,,,,,,,,,,,
2025-04-02,7203.T,2630.5,2661.0,2594.5,2656.0,27800600.0,2656.0,,,,,,,,,,,,
2025-04-03,7203.T,2500.5,2582.5,2456.5,2518.5,63506800.0,2518.5,,,,,,,,,,,,
2025-04-04,7203.T,2440.0,2453.0,2337.5,2407.5,61167400.0,2407.5,,,,,,,,,,,,
2025-04-07,7203.T,2250.0,2355.0,2226.5,2266.5,72609600.0,2266.5,,,,,,,,,,,,
2025-04-08,7203.T,2357.5,2466.0,2351.0,2428.5,52545600.0,2428.5,,,,,,,,,,,,
2025-04-09,7203.T,2378.5,2419.0,2330.0,2365.5,45721300.0,2365.5,,,,,,,,,,,,
2025-04-10,7203.T,2615.5,2621.0,2508.5,2543.0,45889700.0,2543.0,,,,,,,,,,,,
